марка;цвет;тип;мощность_лс;тип_привода;тип_кузова;пробег_км;год_выпуска;цена_руб
Mercedes-Benz;Чёрный;дизель;237;Полный привод;Минивэн;25;2025;39990000
Lynk;Синий;гибрид;734;Полный привод;Внедорожник 5 дв.;1;2026;7443000
Mercedes-Benz;Чёрный;дизель;237;Полный привод;Минивэн;7;2024;45700000
Ford;Серый;бензин;150;Передний привод;Внедорожник 5 дв.;116386;2017;1850000
Ford;Жёлтый;дизель;140;Передний привод;Минивэн;420000;2014;540000
Peugeot;Серебристый;бензин;75;Передний привод;Хэтчбек 5 дв.;250000;2004;175000
Renault;Красный;бензин;84;Передний привод;Седан;379557;2010;400000
Toyota;Чёрный;бензин;150;Полный привод;Внедорожник 5 дв.;411019;1997;750000
Xiaomi;Серый;электро;673;Полный привод;Седан;11617;2024;6230000
Nissan;Чёрный;дизель;190;Полный привод;Внедорожник 5 дв.;260750;2011;1750000
Xiaomi;Серый;электро;673;Полный привод;Седан;23000;2024;5600000
Toyota;Серебристый;бензин;170;Полный привод;Внедорожник 5 дв.;182000;2011;1450000
JETOUR;Чёрный;бензин;245;Полный привод;Внедорожник 5 дв.;12300;2024;3269000
Volkswagen;Синий;бензин;180;Полный привод;Внедорожник 5 дв.;98293;2016;1900900
Volkswagen;Чёрный;бензин;150;Передний привод;Седан;140000;2017;1600000
Xiaomi;Серый;электро;673;Полный привод;Седан;5000;2024;6500000
Xiaomi;Белый;электро;673;Полный привод;Седан;7878;2024;6050000
Toyota;Синий;гибрид;73;Передний привод;Компактвэн;113000;2019;1690000
Xiaomi;Зелёный;электро;673;Полный привод;Седан;209;2024;6981055
Hyundai;Чёрный;бензин;141;Полный привод;Внедорожник 5 дв.;160000;2005;700000
SsangYong;Чёрный;дизель;141;Полный привод;Внедорожник 5 дв.;181000;2013;649000
Mercedes-Benz;Чёрный;бензин;105;Задний привод;Родстер;6500;1960;25000000
Mazda;Синий;бензин;92;Полный привод;Хэтчбек 5 дв.;57000;2016;1050000
SsangYong;Синий;дизель;141;Полный привод;Внедорожник 5 дв.;129145;2009;739000
Nissan;Чёрный;бензин;249;Полный привод;Внедорожник 5 дв.;140000;2015;1525000
Maserati;Красный;бензин;400;Задний привод;Седан;84500;2007;3950000
Volkswagen;Чёрный;бензин;110;Передний привод;Седан;160000;2016;949000
Hyundai;Белый;бензин;123;Передний привод;Седан;514000;2019;500000
Buick;Серый;бензин;155;Полный привод;Внедорожник 5 дв.;35000;2023;2000000
Mercedes-Benz;Чёрный;дизель;160;Задний привод;Седан;152000;2020;1800000
Audi;Коричневый;бензин;225;Полный привод;Внедорожник 5 дв.;197500;2013;1800000
Toyota;Белый;бензин;170;Полный привод;Минивэн;249500;2010;2050000
Nissan;Серый;дизель;190;Полный привод;Внедорожник 5 дв.;193817;2012;1450000
Toyota;Белый;бензин;181;Передний привод;Седан;172000;2020;2250000
Renault;Белый;бензин;150;Передний привод;Внедорожник 5 дв.;235934;2021;891378
LADA;Серебристый;бензин;76;Передний привод;Седан;213172;2006;130000
Land;Жёлтый;дизель;339;Полный привод;Внедорожник 5 дв.;268000;2013;3500000
Nissan;Чёрный;бензин;182;Передний привод;Седан;227000;2012;895000
Renault;Коричневый;бензин;143;Полный привод;Внедорожник 5 дв.;69352;2017;1550000
Chevrolet;Зелёный;бензин;143;Передний привод;Седан;250000;2007;290000
BMW;Серый;бензин;387;Полный привод;Седан;122000;2019;4350000
Geely;Серый;бензин;150;Передний привод;Внедорожник 5 дв.;32460;2023;1670000
Renault;Красный;бензин;75;Передний привод;Хэтчбек 5 дв.;120000;2013;650000
Mercedes-Benz;Коричневый;дизель;249;Полный привод;Седан;131000;2014;3590000
Xiaomi;Чёрный;электро;673;Полный привод;Седан;61050;2024;4999900
Wey;Серый;гибрид;476;Полный привод;Внедорожник 5 дв.;7070;2023;4190000
BMW;Коричневый;дизель;245;Полный привод;Внедорожник 5 дв.;146000;2013;2499000
Honda;Чёрный;бензин;193;Передний привод;Внедорожник 5 дв.;41000;2021;3550000
Mercedes-Benz;Синий;дизель;204;Полный привод;Внедорожник 5 дв.;92000;2019;3950000
Hyundai;Чёрный;дизель;186;Полный привод;Внедорожник 5 дв.;28176;2021;2800000
Kia;Серый;бензин;175;Полный привод;Внедорожник 5 дв.;214000;2014;1750000
Renault;Чёрный;бензин;114;Передний привод;Внедорожник 5 дв.;120000;2017;1500000
Ford;Серый;бензин;150;Полный привод;Внедорожник 5 дв.;103100;2013;1200000
Haval;Белый;бензин;150;Передний привод;Внедорожник 5 дв.;31500;2023;2200000
BMW;Чёрный;дизель;400;Полный привод;Внедорожник 5 дв.;73000;2022;9950000
BMW;Чёрный;бензин;272;Полный привод;Внедорожник 5 дв.;280000;2009;1480000
Skoda;Серый;дизель;240;Полный привод;Внедорожник 5 дв.;150000;2018;3900000
LADA;Серый;бензин;78;Передний привод;Седан;209000;2006;85000
BMW;Красный;дизель;190;Полный привод;Внедорожник 5 дв.;78125;2018;3797000
Changan;Серебристый;бензин;98;Передний привод;Седан;139238;2023;538200
Lexus;Серый;бензин;296;Полный привод;Внедорожник 5 дв.;285000;2014;4600000
BMW;Белый;бензин;184;Полный привод;Внедорожник 5 дв.;194000;2013;1350000
Nissan;Чёрный;бензин;182;Передний привод;Седан;189852;2012;890000
Volvo;Чёрный;бензин;125;Передний привод;Седан;129000;2008;800000
Maserati;Красный;бензин;400;Задний привод;Седан;73200;2006;2900000
Mitsubishi;Чёрный;дизель;181;Полный привод;Внедорожник 5 дв.;114000;2018;3370000
Mercedes-Benz;Чёрный;бензин;333;Полный привод;Внедорожник 5 дв.;282194;2014;2100000
Cadillac;Золотистый;бензин;276;Полный привод;Седан;170000;2013;999990
Hyundai;Белый;бензин;100;Передний привод;Седан;43934;2020;1100000
LADA;Серебристый;бензин;87;Передний привод;Седан;340000;2013;260000
MG;Красный;бензин;162;Передний привод;Внедорожник 5 дв.;39000;2020;1800000
Volkswagen;Бежевый;бензин;102;Передний привод;Седан;269824;2004;140000
Ford;Чёрный;бензин;203;Полный привод;Внедорожник 5 дв.;250000;2006;847000
Volvo;Чёрный;дизель;185;Полный привод;Внедорожник 5 дв.;302000;2011;1300000
Cadillac;Белый;бензин;276;Полный привод;Седан;122200;2014;1500000
